ident,icao,iata,name,type,municipality,lat,lon,elev_ft,runway_len_ft,runway_len_m,surface,lighted,n_runways,scheduled_service
NZSF,NZSF,,Springfield Airport,small_airport,Springfield,-43.38358,171.91127,1216,,,Unknown,0,0,0
NZTA,NZTA,,Te Aroha Airfield,small_airport,,-37.4747,175.618,30,,,Unknown,0,0,0
NZTH,NZTH,TMZ,Thames Aerodrome,small_airport,,-37.1567,175.55,10,,,Unknown,0,0,0
NZTI,NZTI,,Taieri Aerodrome,small_airport,Dunedin,-45.86125,170.36284,92,,,Unknown,0,0,0
NZTK,NZTK,KTF,Takaka Airport,small_airport,,-40.8133,172.77499,102,,,Unknown,0,0,0
NZTM,NZTM,,Taumarunui Airport,small_airport,,-38.8394,175.26199,902,,,Unknown,0,0,0
NZTN,NZTN,,Turangi Airport,small_airport,,-38.9683,175.814,1220,,,Unknown,0,0,0
NZVL,NZVL,,Mandeville Aerodrome,small_airport,,-45.9903,168.812,351,,,Unknown,0,0,0
NZVR,NZVR,,Taihape Airport,small_airport,Taihape,-39.685,175.789,1550,,,Unknown,0,0,0
NZWM,NZWM,,Waimate Airport,small_airport,Waimate,-44.79034,171.09009,79,,,Unknown,0,0,0
